index,lat,lon,alt,heading,pitch,roll,yaw
73,20.6339516667,-103.81462,2144.0,111.0,0.54,-5.63,113.04
74,20.63387,-103.8143733333,2144.0,107.0,-0.09,-6.56,109.25
75,20.633815,-103.8141866667,2144.0,106.0,0.28,-6.05,107.85
76,20.6337366667,-103.8138666667,2144.0,103.0,0.61,-5.05,105.65
77,20.6336716667,-103.8135416667,2144.0,101.0,0.78,-5.19,103.05
78,20.63365,-103.81341,2144.0,99.0,0.83,-5.55,100.54
79,20.633605,-103.81308,2144.0,97.0,0.48,-5.47,97.63
80,20.633575,-103.812745,2144.0,94.0,1.18,-4.77,97.2
81,20.6335666667,-103.81261,2143.0,93.0,2.04,-5.4,96.72
82,20.633555,-103.8122716667,2143.0,91.0,2.54,-1.81,98.12
83,20.6335516667,-103.811935,2143.0,90.0,3.72,-3.48,98.76
84,20.6335516667,-103.8117316667,2144.0,89.0,2.87,-0.77,97.72
85,20.6335566667,-103.8113916667,2145.0,88.0,2.82,-0.83,96.83
86,20.63356,-103.811255,2145.0,88.0,2.58,-0.65,95.73
87,20.63357,-103.8109116667,2146.0,88.0,2.09,-0.26,96.32
88,20.63358,-103.8105666667,2146.0,88.0,2.87,-0.14,97.86
89,20.63359,-103.8102183333,2147.0,88.0,2.6,-0.15,96.5
90,20.633595,-103.8100783333,2148.0,87.0,1.8,-0.87,94.48
91,20.63361,-103.8097266667,2149.0,87.0,1.55,-1.1,93.93
92,20.63362,-103.809515,2149.0,86.0,1.0,-0.74,95.03
93,20.633635,-103.80923,2151.0,86.0,1.15,-0.74,95.98
94,20.6336466667,-103.8090133333,2151.0,86.0,1.11,-0.77,95.17
95,20.6336683333,-103.8086533333,2152.0,86.0,0.85,-0.42,93.04
96,20.6336916667,-103.80829,2154.0,85.0,-0.3,-0.97,93.2
97,20.6337016667,-103.8081416667,2154.0,85.0,-0.01,0.05,94.23
98,20.6337283333,-103.807775,2155.0,85.0,0.09,-0.5,93.37
99,20.6337383333,-103.807625,2156.0,85.0,-0.33,-0.8,93.11
100,20.6337666667,-103.8072533333,2156.0,85.0,0.22,-0.05,93.7
101,20.633785,-103.8070283333,2157.0,85.0,-0.59,-0.71,92.98
102,20.63383,-103.8065033333,2157.0,84.0,-0.63,-0.34,92.88
103,20.63385,-103.8062783333,2157.0,84.0,-0.39,-0.2,93.57
104,20.6338633333,-103.8061266667,2157.0,84.0,-0.26,-1.25,92.8
105,20.6339116667,-103.8056,2156.0,83.0,-0.14,-1.33,90.28
106,20.633935,-103.8053733333,2155.0,83.0,0.0,-1.64,91.75
107,20.6339766667,-103.804995,2155.0,83.0,0.82,-0.62,94.5
108,20.633995,-103.804845,2155.0,83.0,0.53,0.5,93.65
109,20.6340383333,-103.8044666667,2155.0,82.0,0.07,-2.41,92.86
110,20.634065,-103.8042416667,2155.0,82.0,-0.32,-0.62,90.44
111,20.6341016667,-103.80394,2155.0,82.0,0.16,-2.28,90.23
112,20.6341316667,-103.8037133333,2155.0,81.0,0.16,-0.36,91.98
113,20.6341833333,-103.8033383333,2155.0,81.0,0.48,1.3,94.23
114,20.6342316667,-103.802965,2155.0,82.0,0.23,2.08,96.73
115,20.6342483333,-103.802815,2155.0,83.0,0.32,2.38,98.26
116,20.6342716667,-103.8025933333,2155.0,83.0,0.14,0.95,95.67
117,20.63431,-103.802225,2155.0,83.0,-0.09,0.08,94.83
118,20.63434,-103.80193,2155.0,84.0,-0.08,0.79,98.28
119,20.63436,-103.8017116667,2155.0,84.0,0.26,2.39,99.25
120,20.6343733333,-103.8015666667,2155.0,84.0,0.13,1.68,99.45
121,20.6344016667,-103.8012066667,2155.0,85.0,0.18,2.35,100.07
122,20.6344166667,-103.8009916667,2155.0,85.0,0.13,2.03,100.0
123,20.63444,-103.8006366667,2155.0,86.0,0.12,2.69,100.67
124,20.6344466667,-103.800495,2155.0,86.0,0.31,2.4,102.79
125,20.6344566667,-103.8002833333,2155.0,87.0,0.42,0.6,100.88
126,20.6344616667,-103.8001416667,2155.0,87.0,0.08,-0.12,98.64
127,20.6344766667,-103.7997916667,2155.0,87.0,-0.2,-1.62,97.49
128,20.6344966667,-103.7994433333,2155.0,86.0,0.16,-0.14,98.38
129,20.634505,-103.7993033333,2154.0,86.0,0.91,1.97,98.06
130,20.6345166667,-103.799095,2154.0,86.0,0.91,-0.04,97.77
131,20.634535,-103.7987483333,2153.0,86.0,1.12,0.58,100.63
132,20.63455,-103.7984733333,2152.0,87.0,1.4,2.86,102.37
133,20.63456,-103.79827,2152.0,87.0,1.51,1.8,101.01
134,20.634565,-103.798135,2152.0,87.0,1.65,0.71,100.67
135,20.634575,-103.7978,2150.0,88.0,2.41,4.41,102.83
136,20.6345816667,-103.79747,2149.0,89.0,2.28,2.83,103.08
137,20.634585,-103.797145,2149.0,89.0,2.42,0.13,99.69
138,20.6345866667,-103.796825,2148.0,89.0,2.25,-0.92,97.68
139,20.6345883333,-103.7966983333,2148.0,89.0,2.25,-0.7,97.31
140,20.634595,-103.7963833333,2147.0,88.0,2.61,-0.24,98.07
141,20.634605,-103.7960716667,2147.0,88.0,2.36,0.48,98.63
142,20.63461,-103.795885,2147.0,88.0,2.64,0.62,98.45
143,20.6346183333,-103.7955783333,2147.0,88.0,2.71,-0.01,97.77
144,20.6346216667,-103.795455,2147.0,87.0,2.91,-1.74,95.82
145,20.6346366667,-103.79515,2146.0,86.0,2.67,-1.83,93.44
146,20.634645,-103.7950266667,2146.0,86.0,2.83,-1.15,93.05
147,20.634665,-103.79472,2146.0,85.0,2.65,-3.01,88.89
148,20.6346816667,-103.7945366667,2145.0,84.0,2.18,-4.45,84.35
149,20.63472,-103.7942316667,2145.0,80.0,1.61,-5.38,78.64
150,20.63474,-103.7941116667,2145.0,79.0,1.74,-6.34,77.57
151,20.6348016667,-103.7938083333,2144.0,76.0,2.75,-4.15,76.41
152,20.6348316667,-103.7936883333,2144.0,75.0,2.42,-3.97,74.14
153,20.6348766667,-103.7935083333,2144.0,74.0,2.21,-3.82,71.72
154,20.634965,-103.7932116667,2143.0,71.0,2.57,-6.24,69.86
155,20.635005,-103.7930933333,2143.0,70.0,3.11,-4.03,67.92
